"","X1","X2"
"1",14,2.81312308256859
"2",57,1.11005746666177
"3",34,-10.6299351378378
"4",70,10.0139489823498
"5",71,-1.28175206757041
"6",25,-2.60005318194023
"7",45,-1.24563892446753
"8",21,2.45774437630923
"9",19,4.80756656688638
"10",72,4.49139791166503
"11",60,-0.330746840541604
"12",58,-3.63072266316718
"13",47,3.69408402157746
"14",48,7.16698631001348
"15",44,-1.58971418702529
"16",66,-2.00375974697215
"17",64,10.5845641590738
"18",35,-2.67288723510454
"19",17,7.04626327138223
"20",27,-7.79907384294749
"21",52,1.77318856291609
"22",77,1.3406914888358
"23",9,6.27065252750343
"24",68,-9.56205869662954
"25",12,1.98002180447437
"26",37,-12.2358127321306
"27",63,-1.18527113123082
"28",56,8.64105242955509
"29",38,-4.14942344152017
"30",69,-3.60546747122406
"31",55,4.20269084196689
"32",20,-0.772292891042673
"33",23,-2.98038458675988
"34",41,3.20873703417128
"35",16,0.759054452992572
"36",11,3.4647160564556
"37",39,-2.90361041029543
"38",6,3.96841447884711
"39",7,0.822675644986488
"40",4,2.41677654452166
"41",22,3.92476596039797
"42",32,0.814018030348404
"43",31,-1.48267251848133
"44",59,1.48558425283245
"45",18,2.28600622458983
"46",75,5.02587190113062
"47",74,6.67707532927434
"48",8,1.688817284069
"49",33,2.47030669298251
"50",28,-0.5466438966269
"51",61,-5.07880112523372
"52",5,3.65415143624652
"53",29,-8.04824441210948
"54",13,1.44023691078562
"55",10,6.22096067234605
"56",76,4.80259146129459
"57",36,-12.4088853035621
"58",15,7.61240833173276
"59",50,4.17279857534584
"60",54,-15.2058363368926
"61",1,-0.759513066376142
"62",49,3.2773672461994
"63",46,-6.33512237427836
"64",51,-1.33195657728742
"65",30,-6.33002097605531
"66",43,-4.03652560734804
"67",3,-0.768106997088713
"68",73,2.97827651379847
"69",40,-9.47147286296785
"70",62,0.049341227115957
"71",67,-7.11030863076006
"72",26,-5.96840270928329
"73",65,3.58371394039104
"74",53,1.45913867549922
"75",2,2.54632065947629
"76",24,4.04705224845195
"77",42,-7.19009300726423
